t 1 2 3 4 jOP1 jV0200 
0.0001176 -7.29656 -7.06977 -3.42334 -3.42334 0.000341964 2.26791e-005 
0.0001182 -6.87382 -7.07067 -3.63578 -3.63578 0.000363175 -1.96855e-005 
0.0001188 -6.42638 -7.04617 -3.83516 -3.83516 0.000383081 -6.19793e-005 
0.0001194 -5.95586 -6.99636 -4.02076 -4.02076 0.000401611 -0.000104051 
0.00012 -5.46394 -6.92142 -4.19191 -4.19191 0.000418699 -0.000145748 
0.0001206 -4.9524 -6.82162 -4.348 -4.348 0.000434284 -0.000186922 
0.0001212 -4.42307 -6.69732 -4.48848 -4.48848 0.000448308 -0.000227424 
0.0001218 -3.87786 -6.54896 -4.61283 -4.61283 0.000460723 -0.00026711 
0.0001224 -3.31871 -6.37707 -4.7206 -4.7206 0.000471483 -0.000305836 
0.000123 -2.74765 -6.18228 -4.81142 -4.81142 0.00048055 -0.000343464 
0.0001236 -2.16671 -5.96529 -4.88496 -4.88496 0.00048789 -0.000379857 
0.0001242 -1.578 -5.72686 -4.94095 -4.94095 0.000493479 -0.000414887 
0.0001248 -0.98361 -5.46787 -4.97919 -4.97919 0.000497295 -0.000448426 
0.0001254 -0.385692 -5.18924 -4.99954 -4.99954 0.000499324 -0.000480354 
0.000126 0.213612 -4.89196 -5.00193 -5.00193 0.000499561 -0.000510558 
0.0001266 0.812149 -4.57712 -4.98635 -4.98635 0.000498003 -0.000538927 
0.0001272 1.40777 -4.24583 -4.95287 -4.95287 0.000494657 -0.00056536 
0.0001278 1.99833 -3.8993 -4.90159 -4.90159 0.000489534 -0.000589763 
0.0001284 2.58172 -3.53875 -4.8327 -4.8327 0.000482652 -0.000612047 
0.000129 3.15583 -3.1655 -4.74645 -4.74645 0.000474037 -0.000632133 
0.0001296 3.7186 -2.78087 -4.64315 -4.64315 0.00046372 -0.000649948 
0.0001302 4.26802 -2.38626 -4.52318 -4.52318 0.000451737 -0.000665428 
0.0001308 4.80211 -1.98308 -4.38695 -4.38695 0.000438131 -0.000678519 
0.0001314 5.31895 -1.57277 -4.23497 -4.23497 0.000422952 -0.000689172 
0.000132 5.81669 -1.15681 -4.06778 -4.06778 0.000406254 -0.00069735 
0.0001326 6.29353 -0.736701 -3.88597 -3.88597 0.000388096 -0.000703023 
0.0001332 6.74777 -0.313943 -3.6902 -3.6902 0.000368545 -0.000706171 
